"","gene3","st22f","st15b","discordant"
"1","Fucolectin-rel",1,0,1
"2","adaA",1,0,1
"3","alkD-truncation",1,0,1
"4","aqpZ",0,1,1
"5","aqpZ2",0,1,1
"6","argG",1,0,1
"7","asp2",0,1,1
"8","asp3",0,1,1
"9","blaSE",0,1,1
"10","blpK",0,1,1
"11","blpN",1,0,1
"12","cap5A",1,0,1
"13","cbp12",0,1,1
"14","cbp13",0,1,1
"15","cbpG",1,0,1
"16","celA",1,0,1
"17","chbC",1,0,1
"18","citS",1,0,1
"19","cps2K",1,0,1
"20","cps2L",1,0,1
"21","cps2T",1,0,1
"22","cysE",1,0,1
"23","drrA",0,1,1
"24","efeN",1,0,1
"25","epiD",1,0,1
"26","epsH",1,0,1
"27","fabG2",0,1,1
"28","ftsH3",1,0,1
"29","glpE",0,1,1
"30","glpO",0,1,1
"31","gspA",0,1,1
"32","hpaIIM",0,1,1
"33","int",0,1,1
"34","irtA",1,0,1
"35","isp",1,0,1
"36","kcsA",1,0,1
"37","lafA",1,0,1
"38","lanM",0,1,1
"39","ltrA",0,1,1
"40","mga2",0,1,1
"41","moeB",1,0,1
"42","mtlA",1,0,1
"43","mtlD",1,0,1
"44","mtlF",1,0,1
"45","nplT",1,0,1
"46","ntpA",0,1,1
"47","ntpB",0,1,1
"48","ntpC",0,1,1
"49","ntpD",0,1,1
"50","ntpE",0,1,1
"51","ntpF",0,1,1
"52","ntpI",0,1,1
"53","ntpK",0,1,1
"54","pclA",0,1,1
"55","pezT",1,0,1
"56","phtA",1,0,1
"57","phtD",1,0,1
"58","ptrB",0,1,1
"59","relE",0,1,1
"60","relaxase-truncation",0,1,1
"61","rfbC",1,0,1
"62","rimN",1,0,1
"63","rmlB",1,0,1
"64","rmlD",1,0,1
"65","rpiA",1,0,1
"66","rpiR",0,1,1
"67","spnII-interrupted-N",0,1,1
"68","tagE",0,1,1
"69","tcyB",0,1,1
"70","tnp",0,1,1
"71","vrlS",1,0,1
"72","wchA",0,1,1
"73","wchJ",0,1,1
"74","wchK",0,1,1
"75","wchL",0,1,1
"76","wchM",0,1,1
"77","wchN",0,1,1
"78","wchX",0,1,1
"79","wchY",0,1,1
"80","wchZ",0,1,1
"81","wciA",0,1,1
"82","wxz",1,0,1
"83","wzd",0,1,1
"84","wzx",0,1,1
"85","wzy",0,1,1
