"","st","N","glyc2_present","percent_with_glyc2"
"1","10F",11,11,1
"2","10A",64,39,0.609375
"3","22A",27,15,0.555555555555556
"4","35F",2,1,0.5
"5","33D",30,13,0.433333333333333
"6","9V",298,74,0.248322147651007
"7","15BC",433,106,0.244803695150115
"8","14",899,199,0.221357063403782
"9","3",368,71,0.192934782608696
"10","10B",26,5,0.192307692307692
"11","31",58,10,0.172413793103448
"12","23B",96,15,0.15625
"13","46",13,2,0.153846153846154
"14","23A",106,15,0.141509433962264
"15","35D",10,1,0.1
"16","17F",71,7,0.0985915492957746
"17","5",390,38,0.0974358974358974
"18","18C",247,24,0.097165991902834
"19","33F",99,9,0.0909090909090909
"20",NA,2999,247,0.0823607869289763
"21","15A",159,10,0.0628930817610063
"22","6B",598,28,0.0468227424749164
"23","19A",979,39,0.0398365679264556
"24","24",31,1,0.032258064516129
"25","16F",202,3,0.0148514851485149
"26","11A",203,3,0.0147783251231527
"27","34",146,2,0.0136986301369863
"28","35B",168,2,0.0119047619047619
"29","19F",688,8,0.0116279069767442
"30","4",187,2,0.0106951871657754
"31","6A",686,7,0.0102040816326531
"32","13",115,1,0.00869565217391304
"33","8",155,1,0.00645161290322581
"34","23F",685,3,0.00437956204379562
"35","7F",247,1,0.00404858299595142
"36","12F",387,1,0.00258397932816537
"37","1",893,0,0
"38","12A",3,0,0
"39","18A",9,0,0
"40","18B",12,0,0
"41","18F",1,0,0
"42","19B",8,0,0
"43","20A",31,0,0
"44","20B",5,0,0
"45","21",67,0,0
"46","22F",150,0,0
"47","28F",2,0,0
"48","29",3,0,0
"49","33A",2,0,0
"50","33C",1,0,0
"51","35A",27,0,0
"52","35C",1,0,0
"53","38",118,0,0
"54","40",16,0,0
"55","42",1,0,0
"56","6C",45,0,0
"57","6D",10,0,0
"58","7B",9,0,0
"59","7C",62,0,0
"60","9A",2,0,0
"61","9L",1,0,0
"62","9N",50,0,0
"63","NT",42,0,0
