"","ID1","ID2","distance","sero1","phylo_grp1","sero2","phylo_grp2","change_st","distance_rank"
"1","11511_7#13","18090_2#42",65.0445990000001,"19F",1,"14",1,1,1
"2","11511_8#33","18090_2#42",73.5312950000003,"19A",1,"14",1,1,1
"3","11511_8#37","18090_2#42",82.7997560000004,"19A",1,"14",1,1,1
"4","11511_8#38","18090_2#42",80.4469350000002,"19A",1,"14",1,1,1
"5","11511_8#4","18090_2#42",90.9557010000004,"19A",1,"14",1,1,1
"6","11511_8#40","18090_2#42",90.7377080000005,"19A",1,"14",1,1,1
"7","11511_8#48","18090_2#42",80.4093500000002,"19A",1,"14",1,1,1
"8","11511_8#54","18090_2#42",83.9273060000002,"19A",1,"14",1,1,1
"9","11511_8#57","18090_2#42",84.7842440000002,"19A",1,"14",1,1,1
"10","11511_8#59","18090_2#42",75.6586060000001,"19A",1,"14",1,1,1
"11","11511_8#9","18090_2#42",80.4845200000001,"19A",1,"14",1,1,1
"12","11511_8#96","18090_2#42",89.7604980000002,"19F",1,"14",1,1,1
"13","11657_2#24","18090_2#42",187.120682,"19F",1,"14",1,1,1
"14","11657_4#27","18090_2#42",78.1542500000002,"19A",1,"14",1,1,1
"15","11657_4#30","18090_2#42",82.5892800000001,"19A",1,"14",1,1,1
"16","11657_4#40","18090_2#42",79.2742830000002,"19A",1,"14",1,1,1
"17","11657_4#53","18090_2#42",88.6780500000002,"19A",1,"14",1,1,1
"18","11657_4#55","18090_2#42",91.8652580000003,"19A",1,"14",1,1,1
"19","11657_4#74","18090_2#42",92.0231150000002,"19F",1,"14",1,1,1
"20","11657_4#93","18090_2#42",96.6235190000002,"19F",1,"14",1,1,1
"21","11657_4#95","18090_2#42",105.673987,"19A",1,"14",1,1,1
"22","11657_4#96","18090_2#42",81.5744850000002,"19F",1,"14",1,1,1
"23","11657_8#13","18090_2#42",85.9117940000003,"19A",1,"14",1,1,1
"24","11657_8#14","18090_2#42",79.2141470000002,"19A",1,"14",1,1,1
"25","11657_8#25","18090_2#42",93.3160390000004,"19A",1,"14",1,1,1
"26","11657_8#4","18090_2#42",100.705251,"19A",1,"14",1,1,1
"27","11658_2#1","18090_2#42",90.9406670000002,"19F",1,"14",1,1,1
"28","11658_2#10","18090_2#42",104.283342,"19F",1,"14",1,1,1
"29","11658_2#14","18090_2#42",102.554433,"19F",1,"14",1,1,1
"30","11658_2#18","18090_2#42",94.2857320000002,"19F",1,"14",1,1,1
"31","11658_2#19","18090_2#42",85.5434610000003,"19A",1,"14",1,1,1
"32","11658_2#24","18090_2#42",102.306372,"19F",1,"14",1,1,1
"33","11658_2#60","18090_2#42",83.9498570000004,"19A",1,"14",1,1,1
"34","11658_2#66","18090_2#42",82.1382600000003,"19A",1,"14",1,1,1
"35","11658_2#72","18090_2#42",79.2968340000003,"19A",1,"14",1,1,1
"36","11658_2#74","18090_2#42",80.5972750000004,"19A",1,"14",1,1,1
"37","11658_2#75","18090_2#42",86.1072350000001,"19F",1,"14",1,1,1
"38","11658_2#84","18090_2#42",79.4622080000003,"19A",1,"14",1,1,1
"39","11679_1#13","18090_2#42",84.5963190000003,"19A",1,"14",1,1,1
"40","11679_1#27","18090_2#42",83.4762860000001,"19A",1,"14",1,1,1
"41","11679_1#28","18090_2#42",83.9498570000002,"19A",1,"14",1,1,1
"42","11679_1#3","18090_2#42",80.6874790000001,"19A",1,"14",1,1,1
"43","11679_1#53","18090_2#42",87.5956020000002,"19A",1,"14",1,1,1
"44","11679_1#58","18090_2#42",88.6179140000001,"19F",1,"14",1,1,1
"45","11679_1#62","18090_2#42",90.5046810000002,"19F",1,"14",1,1,1
"46","11679_1#74","18090_2#42",94.6766150000002,"19F",1,"14",1,1,1
"47","11822_1#78","18090_2#42",78.5752000000001,"19F",1,"14",1,1,1
"48","11893_8#11","18090_2#42",514.102667,"19F",1,"14",1,1,1
"49","11893_8#15","18090_2#42",80.4469350000002,"19A",1,"14",1,1,1
"50","12162_1#1","18090_2#42",643.425135,"19F",1,"14",1,1,1
"51","12162_1#15","18090_2#42",104.005213,"19A",1,"14",1,1,1
"52","12162_1#3","18090_2#42",650.461047,"19F",1,"14",1,1,1
"53","12162_1#45","18090_2#42",77.5153050000001,"19F",1,"14",1,1,1
"54","12162_1#60","18090_2#42",649.498871,"19F",1,"14",1,1,1
"55","12162_1#63","18090_2#42",92.0080810000002,"19F",1,"14",1,1,1
"56","12162_1#83","18090_2#42",655.925906,"19F",1,"14",1,1,1
"57","12162_1#86","18090_2#42",84.5437000000001,"19F",1,"14",1,1,1
"58","12290_2#17","18090_2#42",80.9505740000001,"19A",1,"14",1,1,1
"59","12291_1#11","18090_2#42",100.066305,"19F",1,"14",1,1,1
"60","12291_1#4","18090_2#42",93.2032840000002,"19F",1,"14",1,1,1
"61","12291_1#44","18090_2#42",92.0531830000002,"19F",1,"14",1,1,1
"62","12291_1#47","18090_2#42",82.8824430000001,"19F",1,"14",1,1,1
"63","12291_1#48","18090_2#42",56.189574,"19F",1,"14",1,1,1
"64","12291_1#51","18090_2#42",88.6329480000002,"19F",1,"14",1,1,1
"65","12291_1#52","18090_2#42",89.7604980000002,"19F",1,"14",1,1,1
"66","12291_1#59","18090_2#42",81.582002,"19F",1,"14",1,1,1
"67","12291_1#7","18090_2#42",88.1668940000002,"19F",1,"14",1,1,1
"68","12291_1#89","18090_2#42",73.989831,"19F",1,"14",1,1,1
"69","12291_2#44","18090_2#42",92.0531830000002,"19F",1,"14",1,1,1
"70","12291_2#48","18090_2#42",56.189574,"19F",1,"14",1,1,1
"71","12291_3#45","18090_2#42",90.8805320000001,"19F",1,"14",1,1,1
"72","12291_3#48","18090_2#42",88.6329480000002,"19F",1,"14",1,1,1
"73","12291_4#13","18090_2#42",101.118687,"19A",1,"14",1,1,1
"74","12291_4#15","18090_2#42",88.7457040000003,"19A",1,"14",1,1,1
"75","12291_4#16","18090_2#42",87.9564180000004,"19A",1,"14",1,1,1
"76","12291_4#27","18090_2#42",72.1707180000001,"19A",1,"14",1,1,1
"77","12291_4#33","18090_2#42",83.9949590000004,"19A",1,"14",1,1,1
"78","12291_4#38","18090_2#42",85.1600940000002,"19A",1,"14",1,1,1
"79","12291_4#53","18090_2#42",76.0870750000004,"19A",1,"14",1,1,1
"80","12291_4#58","18090_2#42",93.4889300000002,"19A",1,"14",1,1,1
"81","12291_4#61","18090_2#42",88.7306690000005,"19A",1,"14",1,1,1
"82","12291_4#65","18090_2#42",96.5032470000004,"19A",1,"14",1,1,1
"83","12291_4#66","18090_2#42",98.2998090000004,"19A",1,"14",1,1,1
"84","12291_4#69","18090_2#42",100.148992,"19A",1,"14",1,1,1
"85","12291_4#74","18090_2#42",81.5143490000001,"19A",1,"14",1,1,1
"86","12291_4#79","18090_2#42",91.5495440000004,"19A",1,"14",1,1,1
"87","12291_4#82","18090_2#42",93.9098810000005,"19A",1,"14",1,1,1
"88","12291_4#88","18090_2#42",87.5129150000002,"19A",1,"14",1,1,1
"89","12291_4#89","18090_2#42",83.9874420000002,"19A",1,"14",1,1,1
"90","12291_4#9","18090_2#42",90.3693750000001,"19F",1,"14",1,1,1
"91","12291_5#1","18090_2#42",95.0299150000004,"19A",1,"14",1,1,1
"92","12291_5#33","18090_2#42",76.1096240000001,"19F",1,"14",1,1,1
"93","12291_5#45","18090_2#42",97.3827360000004,"19A",1,"14",1,1,1
"94","12291_6#13","18090_2#42",78.0941140000001,"19F",1,"14",1,1,1
"95","12291_6#39","18090_2#42",84.5437000000001,"19F",1,"14",1,1,1
"96","12291_6#52","18090_2#42",655.88832,"19F",1,"14",1,1,1
"97","12291_6#55","18090_2#42",85.6637330000001,"19F",1,"14",1,1,1
"98","12291_6#60","18090_2#42",96.3679400000001,"19F",1,"14",1,1,1
"99","12291_6#67","18090_2#42",653.475364,"19F",1,"14",1,1,1
"100","12291_6#76","18090_2#42",659.879848,"19F",1,"14",1,1,1
"101","12291_6#85","18090_2#42",88.7983220000002,"19F",1,"14",1,1,1
"102","12299_1#38","18090_2#42",88.7457040000003,"19A",1,"14",1,1,1
"103","12299_1#41","18090_2#42",92.2937270000002,"19A",1,"14",1,1,1
"104","12299_1#43","18090_2#42",87.6181540000001,"19A",1,"14",1,1,1
"105","12299_1#48","18090_2#42",85.9944810000004,"19A",1,"14",1,1,1
"106","12299_1#57","18090_2#42",100.05127,"19A",1,"14",1,1,1
"107","12299_1#6","18090_2#42",86.3402630000004,"19A",1,"14",1,1,1
