"","ID1","ID2","distance","sero1","phylo_grp1","sero2","phylo_grp2","change_st","sg1","sg2","sg_switch","distance_rank","repN","change_sg"
"1","14520_6#40","10395_5#33",64.425072,"14",9,"14",9,0,"14","14",0,1,1,0
"2","14520_6#43","10395_5#34",221.131153,"14",9,"14",9,0,"14","14",0,1,1,0
"3","14520_5#83","10395_5#38",0.117501,"23F",94,"10A",94,1,"23","10",1,1,1,1
"4","14520_6#60","10395_5#53",23.666143,"12F",26,"12F",26,0,"12","12",0,1,1,0
"5","14520_5#25","10395_5#64",0.07409,"19A",94,"19A",94,0,"19","19",0,1,1,0
"6","14520_6#64","10395_5#64",0.059534,"23F",94,"19A",94,1,"23","19",1,1,1,1
"7","15873_3#21","10395_5#8",55.232421,"6A",47,"6A",47,0,"6","6",0,1,1,0
"8","21242_2#136","10900_6#96",145.719345999999,"14",18,"14",18,0,"14","14",0,1,1,0
"9","15682_1#79","10900_6#96",299.262063,"19F",18,"14",18,1,"19","14",1,1,1,1
"10","12291_5#19","11511_7#11",80.82452,"9V",6,"9V",6,0,"9","9",0,1,1,0
"11","22027_1#44","11511_7#13",38.043536,"19F",1,"19F",1,0,"19","19",0,1,1,0
"12","14673_1#31","11511_7#16",109.886928,"18B",50,"18B",50,0,"18","18",0,1,1,0
"13","13414_4#24","11511_7#16",58.8827520000001,"18C",50,"18B",50,1,"18","18",0,1,1,0
"14","11822_1#27","11511_7#18",66.6438440000001,"4",27,"4",27,0,"4","4",0,1,1,0
"15","18090_2#46","11511_7#25",32.7261139999996,"14",18,"14",18,0,"14","14",0,1,1,0
"16","14673_1#54","11511_7#28",131.726324,"15BC",11,"18C",11,1,"15","18",1,1,1,1
"17","9789_2#1","11511_7#28",275.80419,"18C",11,"18C",11,0,"18","18",0,1,1,0
"18","11940_1#4","11511_7#28",170.716443,"19A",11,"18C",11,1,"19","18",1,1,1,1
"19","12291_3#2","11511_7#28",180.483927,"21",11,"18C",11,1,"21","18",1,1,1,1
"20","11822_1#35","11511_7#29",58.015819,"6A",23,"6B",23,1,"6","6",0,1,1,0
"21","14673_2#11","11511_7#32",32.1121279999988,"14",18,"14",18,0,"14","14",0,1,1,0
"22","13414_1#6","11511_7#35",110.194435,"9N",16,"9N",16,0,"9","9",0,1,1,0
"23","11657_2#87","11511_7#38",98.113584,"31",19,"22F",19,1,"31","22",1,1,1,1
"24","17150_6#80","11511_7#40",75.885712,"11A",6,"9V",6,1,"11","9",1,1,1,1
"25","22841_3#107","11511_7#40",26.590341,"9V",6,"9V",6,0,"9","9",0,1,1,0
"26","11657_2#72","11511_7#41",26.201299,"6A",97,"6A",97,0,"6","6",0,1,1,0
"27","13154_2#45","11511_7#42",59.737663,"14",6,"9V",6,1,"14","9",1,1,1,1
"28","13414_8#61","11511_7#42",83.546766,"9V",6,"9V",6,0,"9","9",0,1,1,0
"29","18090_2#51","11511_7#49",35.023787,"18C",3,"18C",3,0,"18","18",0,1,1,0
"30","15608_4#51","11511_7#49",120.767422,"3",3,"18C",3,1,"3","18",1,1,1,1
"31","11657_1#86","11511_7#51",57.2977450000001,"6B",23,"6B",23,0,"6","6",0,1,1,0
"32","18090_1#100","11511_7#62",70.019824,"14",10,"24",10,1,"14","24",1,1,1,1
"33","15682_2#23","11511_7#62",155.898011,"19F",10,"24",10,1,"19","24",1,1,1,1
"34","18090_1#135","11511_7#62",67.7109419999999,"24",10,"24",10,0,"24","24",0,1,1,0
"35","14673_4#33","11511_7#65",154.861567,"19A",4,"19A",4,0,"19","19",0,1,1,0
"36","14673_3#78","11511_7#66",32.117964,"4",27,"4",27,0,"4","4",0,1,1,0
"37","11511_7#75","11511_7#67",32.298402,"4",27,"4",27,0,"4","4",0,1,1,0
"38","15608_2#81","11511_7#70",21.7568130000001,"9N",16,"18C",16,1,"9","18",1,1,1,1
"39","14723_6#71","11511_7#71",38.6535710000003,"6A",13,"6A",13,0,"6","6",0,1,1,0
"40","22841_3#178","11511_7#73",336.848318,"13",16,"23F",16,1,"13","23",1,1,1,1
"41","15608_4#43","11511_7#73",240.297347,"23F",16,"23F",16,0,"23","23",0,1,1,0
"42","11511_7#67","11511_7#75",32.298402,"4",27,"4",27,0,"4","4",0,1,1,0
"43","19084_7#21","11511_7#79",156.271559,"15BC",4,"15BC",4,0,"15","15",0,1,1,0
"44","11822_1#26","11511_7#81",36.7502419999998,"4",27,"4",27,0,"4","4",0,1,1,0
"45","14673_4#2","11511_8#14",21.474544,"19A",6,"19A",6,0,"19","19",0,1,1,0
"46","12299_1#28","11511_8#15",45.0017,"7F",15,"7F",15,0,"7","7",0,1,1,0
"47","13414_2#81","11511_8#21",40.813885,"22F",19,"22F",19,0,"22","22",0,1,1,0
"48","14673_3#76","11511_8#24",44.80266,"7F",15,"7F",15,0,"7","7",0,1,1,0
"49","11511_8#61","11511_8#26",24.761464,"19A",6,"19A",6,0,"19","19",0,1,1,0
"50","13710_1#23","11511_8#29",47.760551,"22F",19,"22F",19,0,"22","22",0,1,1,0
"51","21999_8#115","11511_8#33",36.2018730000002,"19A",1,"19A",1,0,"19","19",0,1,1,0
"52","12291_1#59","11511_8#33",35.7583690000003,"19F",1,"19A",1,1,"19","19",0,1,1,0
"53","12291_4#69","11511_8#37",36.0515320000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
