"","Gene","Annotation","Non.unique.Gene.name","sg_change_0","sg_change_1","ratio","gene.annotate","phage","hypothetical","transposase","caps","exclude"
"1","group_2355","aquaporin Z","aqpZ",1,35,5.78512396694215,"GROUP_2355 AQUAPORIN Z AQPZ",FALSE,FALSE,FALSE,0,0
"2","group_11429","spermidine synthase","speE",1,33,5.45454545454545,"GROUP_11429 SPERMIDINE SYNTHASE SPEE",FALSE,FALSE,FALSE,0,0
"3","ubiE_2","methyltransferase small domain superfamily","",1,32,5.28925619834711,"UBIE_2 METHYLTRANSFERASE SMALL DOMAIN SUPERFAMILY ",FALSE,FALSE,FALSE,0,0
"4","group_12072","Fic protein family","",1,31,5.12396694214876,"GROUP_12072 FIC PROTEIN FAMILY ",FALSE,FALSE,FALSE,0,0
"5","group_7771","GNAT family acetyltransferase","",1,31,5.12396694214876,"GROUP_7771 GNAT FAMILY ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"6","group_7772","GNAT family acetyltransferase","",1,31,5.12396694214876,"GROUP_7772 GNAT FAMILY ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"7","group_4106","ABC transporter membrane-spanning protein","",1,30,4.95867768595041,"GROUP_4106 ABC TRANSPORTER MEMBRANE-SPANNING PROTEIN ",FALSE,FALSE,FALSE,0,0
"8","deoD_1","phosphorylase Pnp/Udp family protein","",1,28,4.62809917355372,"DEOD_1 PHOSPHORYLASE PNP/UDP FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"9","glgA","glycogen synthase","",1,28,4.62809917355372,"GLGA GLYCOGEN SYNTHASE ",FALSE,FALSE,FALSE,0,0
"10","group_12073","Fic protein family","",1,28,4.62809917355372,"GROUP_12073 FIC PROTEIN FAMILY ",FALSE,FALSE,FALSE,0,0
"11","group_17536","putative galactosyl transferase","gspA_1",1,28,4.62809917355372,"GROUP_17536 PUTATIVE GALACTOSYL TRANSFERASE GSPA_1",FALSE,FALSE,FALSE,0,0
"12","group_3094","ABC transporter ATP-binding protein","fbpC",1,28,4.62809917355372,"GROUP_3094 ABC TRANSPORTER ATP-BINDING PROTEIN FBPC",FALSE,FALSE,FALSE,0,0
"13","group_9586","glycosyl hydrolases family 32","scrB",1,27,4.46280991735537,"GROUP_9586 GLYCOSYL HYDROLASES FAMILY 32 SCRB",FALSE,FALSE,FALSE,0,0
"14","group_9615","Membrane protein","",1,27,4.46280991735537,"GROUP_9615 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"15","cbiO","cobalt ABC transporter ATP-binding protein","",1,26,4.29752066115702,"CBIO COBALT ABC TRANSPORTER ATP-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"16","gpmA_2","phosphoglycerate mutase","",1,26,4.29752066115702,"GPMA_2 PHOSPHOGLYCERATE MUTASE ",FALSE,FALSE,FALSE,0,0
"17","group_2564","choline binding protein E CbpE","lytB_3",1,26,4.29752066115702,"GROUP_2564 CHOLINE BINDING PROTEIN E CBPE LYTB_3",FALSE,FALSE,FALSE,0,0
"18","group_6747","cobalt ABC transporter ATP-binding protein","cbiO",1,26,4.29752066115702,"GROUP_6747 COBALT ABC TRANSPORTER ATP-BINDING PROTEIN CBIO",FALSE,FALSE,FALSE,0,0
"19","group_8793","ATP-dependent Zn protease","",1,26,4.29752066115702,"GROUP_8793 ATP-DEPENDENT ZN PROTEASE ",FALSE,FALSE,FALSE,0,0
"20","group_287","integrase core subunit","IS861-truncation",1,25,4.13223140495868,"GROUP_287 INTEGRASE CORE SUBUNIT IS861-TRUNCATION",FALSE,FALSE,FALSE,0,0
"21","group_4154","Na+ export ABC ABC transporter membrane-spanning permease","yhaP",1,25,4.13223140495868,"GROUP_4154 NA+ EXPORT ABC ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE YHAP",FALSE,FALSE,FALSE,0,0
"22","strH_1","endo-beta-N-acetylglucosaminidase","",1,25,4.13223140495868,"STRH_1 ENDO-BETA-N-ACETYLGLUCOSAMINIDASE ",FALSE,FALSE,FALSE,0,0
