"","coef","Gene","Annotation","Non.unique.Gene.name"
"1",3.73412775119396,"(Intercept)",NA,NA
"2",0.355492671282364,"RFBC","DTDP-4-DEHYDRORHAMNOSE 35-EPIMERASE",""
"3",0.279893307731961,"GROUP_490","INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY","XERC_1"
"4",0.241392808201624,"GROUP_15367","PHAGE PROTEIN",""
"5",0.240720240917966,"GROUP_9372","ACETYLTRANSFERASE","MURZ"
"6",0.238886351521024,"YBHF","ABC TRANSPORTER ATP-BINDING PROTEIN",""
"7",0.232207082908541,"GROUP_14732","MEMBRANE PROTEIN",""
"8",0.221487765908303,"GROUP_17103","PHAGE PROTEIN",""
"9",0.219215270151192,"GROUP_17650","PUTATIVE SMALL SUBUNIT OF THE TERMINASE",""
"10",0.219030329588581,"GROUP_14524","PHAGE TERMINASE LARGE SUBUNIT",""
"11",0.21852761608515,"GROUP_10514","PROPHAGE PROTEIN",""
"12",0.215994902695725,"GROUP_4358","SIALIDASE A (NEURAMINIDASE A)","NANA_1"
"13",0.214811262464865,"GROUP_208","CHOLINE BINDING PROTEIN A","CBPA"
"14",0.21298418151744,"GROUP_11753","REP PROTEIN",""
"15",0.206183307028624,"GROUP_2982","RADICAL SAM SUPERFAMILY PROTEIN (PSEUDOGENE)",""
"16",0.203395867912105,"GROUP_11534","GNTR FAMILY TRANSCRIPTIONAL REGULATOR","YVOA_2"
"17",0.198562537317273,"YVOA_2","GNTR FAMILY TRANSCRIPTIONAL REGULATOR",""
"18",0.19439235693579,"PBP1A","PENICILLIN-BINDING PROTEIN 1A",""
"19",0.193247757471165,"GROUP_6540","GLYCOSYL TRANSFERASE FAMILY 2","KFOC_1"
"20",0.18933477038264,"ALIB2","LIPOPROTEIN PUTATIVE",""
"21",0.184595598792825,"TRUC","RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE RLUD SUBFAMILY PROTEIN",""
"22",0.184226051317395,"GROUP_7919","RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE RLUD SUBFAMILY PROTEIN","TRUC"
"23",0.183911861933746,"GROUP_5999","CAAX AMINO PROTEASE FAMILY PROTEIN",""
"24",0.180268919212609,"GROUP_21408","GLYCOSYL TRANSFERASE FAMILY 2 PROTEIN","WEFD"
"25",0.180223385609095,"GROUP_21407","CELL WALL BIOSYNTHESIS GLYCOSYLTRANSFERASE","HYAD_2"
"26",0.180177724082285,"GROUP_21406","GLYCOSYL TRANSFERASE","WEFM"
"27",0.180063577818283,"GROUP_13657","TRANSMEMBRANE PROTEIN",""
"28",0.17865128159718,"GROUP_4437","EXOPOLYSACCHARIDE BIOSYNTHESIS PROTEIN ACETYLTRANSFERASE","LACA_1"
"29",0.17650752250839,"MANZ_1","PTS SYSTEM TRANSPORTER SUBUNIT IID",""
"30",0.176377008113164,"GROUP_12689","REPEATING UNIT O-ACETYLTRANSFERASE WEFK","WEFK"
"31",0.172240432635957,"GROUP_11654","CI REPRESSOR","IMMR"
"32",0.17188590300451,"GROUP_8065","S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN","YHGF"
"33",0.171699441069954,"GROUP_11376","GLYOXALASE FAMILY PROTEIN",""
"34",0.169764684092268,"GROUP_817","REPAIR PROTEIN",""
"35",0.16826398937625,"GROUP_2721","PHAGE HOLIN LL-H FAMILY",""
"36",0.168203707294692,"GROUP_12754","ABC TRANSPORTER ATP-BINDING PROTEIN","MACB_1"
"37",0.164947863689061,"WEFK","REPEATING UNIT O-ACETYLTRANSFERASE WEFK",""
"38",0.161369077805534,"GROUP_2538","ENDO-BETA-N-ACETYLGLUCOSAMINIDASE","STRH_1"
"39",0.160577428827274,"GROUP_1976","U32 FAMILY PEPTIDASE","YHBU_1"
