"","coef","Gene"
"(Intercept)",5.58204079744725,"(Intercept)"
"GROUP_8191_GLUCOSYL-1-PHOSPHATE TRANSFERASE",2.74923677497598,"GROUP_8191_GLUCOSYL-1-PHOSPHATE TRANSFERASE"
"GROUP_19686_UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE",2.58473120289889,"GROUP_19686_UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE"
"GROUP_15252_DTDP-4-KETO-L-RHAMNOSE REDUCTASE",1.88041041379336,"GROUP_15252_DTDP-4-KETO-L-RHAMNOSE REDUCTASE"
"GROUP_17536_PUTATIVE GALACTOSYL TRANSFERASE",1.75830468252428,"GROUP_17536_PUTATIVE GALACTOSYL TRANSFERASE"
"GROUP_3087_O-ACETYLHOMOSERINE SULFHYDRYLASE",1.33658503620304,"GROUP_3087_O-ACETYLHOMOSERINE SULFHYDRYLASE"
"GROUP_7269_OLIGOPEPTIDE ABC TRANSPORTER OLIGOPEPTIDE-BINDING PROTEIN ALIA",1.28342922190561,"GROUP_7269_OLIGOPEPTIDE ABC TRANSPORTER OLIGOPEPTIDE-BINDING PROTEIN ALIA"
"PBP1A_PENICILLIN-BINDING PROTEIN 1A",1.22210161663167,"PBP1A_PENICILLIN-BINDING PROTEIN 1A"
"GROUP_8927_PHAGE PROTEIN",0.96739475609404,"GROUP_8927_PHAGE PROTEIN"
"GROUP_19584_PUTATIVE GALACTOSYL TRANSFERASE",0.959961285762015,"GROUP_19584_PUTATIVE GALACTOSYL TRANSFERASE"
"TRKG2_POTASSIUM UPTAKE PROTEIN",0.959090007543127,"TRKG2_POTASSIUM UPTAKE PROTEIN"
"AGAC_PTS SYSTEM N-ACETYLGALACTOSAMINE-SPECIFIC IIC COMPONENT",0.955622749171845,"AGAC_PTS SYSTEM N-ACETYLGALACTOSAMINE-SPECIFIC IIC COMPONENT"
"GROUP_3391_TRANSCRIPTIONAL ACTIVATOR",0.954428124530076,"GROUP_3391_TRANSCRIPTIONAL ACTIVATOR"
"GROUP_9554_LANTIBIOTIC BIOSYNTHESIS PROTEIN",0.904839603911888,"GROUP_9554_LANTIBIOTIC BIOSYNTHESIS PROTEIN"
"PNUC_1_NICOTINAMIDE MONONUCLEOTIDE TRANSPORTER",0.803727303474933,"PNUC_1_NICOTINAMIDE MONONUCLEOTIDE TRANSPORTER"
"GROUP_9529_GLUTAMATE DEHYDROGENASE",0.801156196560788,"GROUP_9529_GLUTAMATE DEHYDROGENASE"
"GROUP_6082_CAAX AMINO PROTEASE FAMILY PROTEIN",0.784774195130998,"GROUP_6082_CAAX AMINO PROTEASE FAMILY PROTEIN"
"GROUP_5077_ALPHA/BETA FOLD FAMILY HYDROLASE",0.758044297444466,"GROUP_5077_ALPHA/BETA FOLD FAMILY HYDROLASE"
"GROUP_5581_COBALT ABC TRANSPORTER ATPASE COMPONENT CBIO",0.75289367253207,"GROUP_5581_COBALT ABC TRANSPORTER ATPASE COMPONENT CBIO"
"THIJ-2_THIJ/PFPI FAMILY PROTEIN",0.747957411689465,"THIJ-2_THIJ/PFPI FAMILY PROTEIN"
"GROUP_7882_PHAGE PROTEIN",0.689742700766121,"GROUP_7882_PHAGE PROTEIN"
"GROUP_11939_PHOSPHOSUGAR-BINDING TRANSCRIPTIONAL REGULATOR",0.688651521516407,"GROUP_11939_PHOSPHOSUGAR-BINDING TRANSCRIPTIONAL REGULATOR"
"GROUP_15685_PHAGE PROTEIN",0.6881102370145,"GROUP_15685_PHAGE PROTEIN"
"GROUP_18325_PUTATIVE LIPOPROTEIN",0.683442231652979,"GROUP_18325_PUTATIVE LIPOPROTEIN"
"GROUP_5743_DEPHOSPHO-COA KINASE",0.681597297606111,"GROUP_5743_DEPHOSPHO-COA KINASE"
"GROUP_3800_COMPETENCE-INDUCED PROTEIN CCS4",0.679020196077151,"GROUP_3800_COMPETENCE-INDUCED PROTEIN CCS4"
"HSDS_2_TYPE I RESTRICTION ENZYME",0.673129204922387,"HSDS_2_TYPE I RESTRICTION ENZYME"
"GROUP_19837_PUTATIVE LIPOPROTEIN",0.671798601556644,"GROUP_19837_PUTATIVE LIPOPROTEIN"
"YHEH_2_MULTIDRUG RESISTANCE PROTEIN 3",0.670860223823486,"YHEH_2_MULTIDRUG RESISTANCE PROTEIN 3"
"DRAG_HYDROLASE",0.660867395137119,"DRAG_HYDROLASE"
"GROUP_2100_PHAGE PROTEIN",0.658070368004162,"GROUP_2100_PHAGE PROTEIN"
"ARTM_2_AMINO ACID ABC TRANSPORTER ATP-BINDING PROTEIN",0.649524045960371,"ARTM_2_AMINO ACID ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_13890_UNDECAPRENOL KINASE",0.639740742851331,"GROUP_13890_UNDECAPRENOL KINASE"
"GROUP_1866_SIGNAL RECOGNITION PARTICLE GTPASE",0.63944206636648,"GROUP_1866_SIGNAL RECOGNITION PARTICLE GTPASE"
"GROUP_11245_PUTATIVE PHASYL DNA REPLICON PROTEIN",0.636079743792683,"GROUP_11245_PUTATIVE PHASYL DNA REPLICON PROTEIN"
"GROUP_3602_PUTATIVE DNA METHYLASE",0.6236330561147,"GROUP_3602_PUTATIVE DNA METHYLASE"
"GROUP_12463_ABC TRANSPORTER ATP-BINDING PROTEIN",0.619185096119656,"GROUP_12463_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_6360_CARBOHYDRATE-BINDING FAMILY V/XII",0.618823445041233,"GROUP_6360_CARBOHYDRATE-BINDING FAMILY V/XII"
"GROUP_1379_CAAX AMINO PROTEASE FAMILY PROTEIN",0.615820799100554,"GROUP_1379_CAAX AMINO PROTEASE FAMILY PROTEIN"
"GROUP_7864_GLYCEROL KINASE",0.6124513198032,"GROUP_7864_GLYCEROL KINASE"
"GROUP_4865_PHAGE PROTEIN",0.610541254740588,"GROUP_4865_PHAGE PROTEIN"
"GROUP_14335_ABC TRANSPORTER ATP-BINDING PROTEIN",0.608222508474437,"GROUP_14335_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_13648_SUGAR BINDING TRANSCRIPTIONAL REGULATOR REGR",0.606019332172437,"GROUP_13648_SUGAR BINDING TRANSCRIPTIONAL REGULATOR REGR"
"GROUP_2467_ENDONUCLEASE",0.604708874019725,"GROUP_2467_ENDONUCLEASE"
"GROUP_6123_14-ALPHA-GLUCAN BRANCHING ENZYME",0.583122856249054,"GROUP_6123_14-ALPHA-GLUCAN BRANCHING ENZYME"
"GROUP_11405_ABC TRANSPORTER ATP-BINDING PROTEIN",0.58147482389065,"GROUP_11405_ABC TRANSPORTER ATP-BINDING PROTEIN"
