"","Gene","Annotation","Non.unique.Gene.name","ac_change_0","ac_change_1","ac_change_NA","ratio","gene.annotate","phage","hypothetical","transposase","caps","exclude"
"1","group_17650","putative small subunit of the terminase","",1,16,1,21.037037037037,"GROUP_17650 PUTATIVE SMALL SUBUNIT OF THE TERMINASE ",FALSE,FALSE,FALSE,0,0
"2","group_10464","23S_rRNA pseudouridine synthase","rluA3",1,11,NA,14.462962962963,"GROUP_10464 23S_RRNA PSEUDOURIDINE SYNTHASE RLUA3",FALSE,FALSE,FALSE,0,0
"3","rluA3","23S_rRNA pseudouridine synthase","",1,11,NA,14.462962962963,"RLUA3 23S_RRNA PSEUDOURIDINE SYNTHASE ",FALSE,FALSE,FALSE,0,0
"4","group_1309","TMP repeat family","yqbO",2,12,NA,7.88888888888889,"GROUP_1309 TMP REPEAT FAMILY YQBO",FALSE,FALSE,FALSE,0,0
"5","group_14779","conserved structural protein putative","",2,12,NA,7.88888888888889,"GROUP_14779 CONSERVED STRUCTURAL PROTEIN PUTATIVE ",FALSE,FALSE,FALSE,0,0
"6","group_17765","cro-like protein","",2,12,NA,7.88888888888889,"GROUP_17765 CRO-LIKE PROTEIN ",FALSE,FALSE,FALSE,0,0
"7","group_20858","DNA complete genome","",2,12,NA,7.88888888888889,"GROUP_20858 DNA COMPLETE GENOME ",FALSE,FALSE,FALSE,0,0
"8","group_6230","Phage protein","",2,12,NA,7.88888888888889,"GROUP_6230 PHAGE PROTEIN ",FALSE,FALSE,FALSE,0,0
"9","gldA","3-dehydroquinate synthase","",3,14,NA,6.1358024691358,"GLDA 3-DEHYDROQUINATE SYNTHASE ",FALSE,FALSE,FALSE,0,0
"10","group_10852","gp37","",3,14,1,6.1358024691358,"GROUP_10852 GP37 ",FALSE,FALSE,FALSE,0,0
"11","group_132","chlorohydrolase","",2,9,NA,5.91666666666667,"GROUP_132 CHLOROHYDROLASE ",FALSE,FALSE,FALSE,0,0
"12","group_4038","ABC transporter ATPase","",2,9,NA,5.91666666666667,"GROUP_4038 ABC TRANSPORTER ATPASE ",FALSE,FALSE,FALSE,0,0
"13","group_4358","sialidase A (neuraminidase A)","nanA_1",2,8,2,5.25925925925926,"GROUP_4358 SIALIDASE A (NEURAMINIDASE A) NANA_1",FALSE,FALSE,FALSE,0,0
"14","group_8016","Domain of unknown function (DUF1858)","",2,8,NA,5.25925925925926,"GROUP_8016 DOMAIN OF UNKNOWN FUNCTION (DUF1858) ",FALSE,FALSE,FALSE,0,0
"15","group_9372","acetyltransferase","murZ",2,8,NA,5.25925925925926,"GROUP_9372 ACETYLTRANSFERASE MURZ",FALSE,FALSE,FALSE,0,0
"16","livJ","ABC transporter substrate binding lipoprotein-branched chain amino acid transport","",3,11,NA,4.82098765432099,"LIVJ ABC TRANSPORTER SUBSTRATE BINDING LIPOPROTEIN-BRANCHED CHAIN AMINO ACID TRANSPORT ",FALSE,FALSE,FALSE,0,0
"17","group_6762","major tail protein","",5,15,1,3.94444444444444,"GROUP_6762 MAJOR TAIL PROTEIN ",FALSE,FALSE,FALSE,0,0
"18","group_10413","oligopeptide ABC transporter ATP-binding protein AmiF","amiF",4,12,NA,3.94444444444444,"GROUP_10413 OLIGOPEPTIDE ABC TRANSPORTER ATP-BINDING PROTEIN AMIF AMIF",FALSE,FALSE,FALSE,0,0
"19","group_1575","Tn5253 bacteriocine putative","",3,9,NA,3.94444444444444,"GROUP_1575 TN5253 BACTERIOCINE PUTATIVE ",FALSE,FALSE,FALSE,0,0
"20","group_9113","beta-galactosidase subunit beta","tabA_1",3,9,2,3.94444444444444,"GROUP_9113 BETA-GALACTOSIDASE SUBUNIT BETA TABA_1",FALSE,FALSE,FALSE,0,0
"21","group_11654","cI repressor","immR",6,17,1,3.72530864197531,"GROUP_11654 CI REPRESSOR IMMR",FALSE,FALSE,FALSE,0,0
"22","group_11534","GntR family transcriptional regulator","yvoA_2",3,8,1,3.50617283950617,"GROUP_11534 GNTR FAMILY TRANSCRIPTIONAL REGULATOR YVOA_2",FALSE,FALSE,FALSE,0,0
"23","yvoA_2","GntR family transcriptional regulator","",3,8,1,3.50617283950617,"YVOA_2 GNTR FAMILY TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
